Iteration,Individual,0,1,2
1,1,8.3,14.4,0.0
1,2,6.0,2.9,0.0
1,3,3.7,6.9,0.0
1,4,10.8,8.4,0.0
1,5,4.1,17.6,0.0
1,6,13.4,8.4,0.0
1,7,2.8,4.0,0.0
1,8,19.4,6.3,0.0
1,9,17.5,17.9,0.0
1,10,0.8,3.4,0.0
1,11,2.0,8.4,0.0
1,12,10.7,13.8,0.0
1,13,13.7,16.7,0.0
1,14,15.0,19.8,0.0
1,15,5.6,15.8,0.0
1,16,9.0,18.2,0.0
1,17,5.8,2.6,0.0
1,18,13.6,4.3,0.0
1,19,9.8,1.1,0.0
1,20,3.0,11.8,0.0
2,1,8.3,14.4,0.0
2,2,6.0,2.9,0.0
2,3,3.7,6.9,0.0
2,4,10.8,8.4,0.0
2,5,4.1,17.6,0.0
2,6,13.4,8.4,0.0
2,7,2.8,4.0,0.0
2,8,19.8,7.6,0.0
2,9,17.5,17.9,0.0
2,10,0.8,3.4,0.0
2,11,2.0,8.4,0.0
2,12,10.7,13.8,0.0
2,13,13.7,16.7,0.0
2,14,15.0,19.8,0.0
2,15,5.6,15.8,0.0
2,16,9.0,18.2,0.0
2,17,5.8,2.6,0.0
2,18,13.6,4.3,0.0
2,19,9.8,1.1,0.0
2,20,3.0,11.8,0.0
3,1,8.3,14.4,0.0
3,2,6.0,2.9,0.0
3,3,3.7,6.9,0.0
3,4,10.8,8.4,0.0
3,5,4.1,17.6,0.0
3,6,13.4,8.4,0.0
3,7,2.8,4.0,0.0
3,8,19.8,7.6,0.0
3,9,19.8,16.8,0.0
3,10,0.8,3.4,0.0
3,11,2.0,8.4,0.0
3,12,10.7,13.8,0.0
3,13,13.7,16.7,0.0
3,14,15.0,19.8,0.0
3,15,5.6,15.8,0.0
3,16,9.0,18.2,0.0
3,17,5.8,2.6,0.0
3,18,13.6,4.3,0.0
3,19,9.8,1.1,0.0
3,20,3.0,11.8,0.0
4,1,8.3,14.4,0.0
4,2,6.0,2.9,0.0
4,3,3.7,6.9,0.0
4,4,10.8,8.4,0.0
4,5,4.1,17.6,0.0
4,6,13.4,8.4,0.0
4,7,2.8,4.0,0.0
4,8,19.8,7.6,0.0
4,9,19.8,16.8,0.0
4,10,0.8,3.4,0.0
4,11,2.0,8.4,0.0
4,12,10.7,13.8,0.0
4,13,13.7,16.7,0.0
4,14,15.0,19.8,0.0
4,15,5.6,15.8,0.0
4,16,9.0,18.2,0.0
4,17,5.8,2.6,0.0
4,18,13.6,4.3,0.0
4,19,9.8,1.1,0.0
4,20,3.0,11.8,0.0
5,1,8.3,14.4,0.0
5,2,6.0,2.9,0.0
5,3,3.7,6.9,0.0
5,4,10.8,8.4,0.0
5,5,4.1,17.6,0.0
5,6,13.4,8.4,0.0
5,7,2.8,4.0,0.0
5,8,19.8,8.0,0.0
